Total records with legal-entity prefixes: 1,360

================================================================================
       #  Len  Name
================================================================================
  [   110] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [   111] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [   112] ( 94) UKRAINIAN CATHOLIC EPISCOPAL CORPORATION OF SASKATCHEWAN HOLY FAMILY UKRAINIAN CATHOLIC CHURCH
  [   113] ( 93) UKRAINIAN CATHOLIC EPISCOPAL CORPORATION OF SASKATCHEWAN ST-BASIL'S UKRAINIAN CATHOLIC CHURCH
  [   114] ( 86) CORPORATION OF THE PRESIDING BISHOP OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS
  [   115] ( 86) CORPORATION OF THE PRESIDING BISHOP OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS
  [   116] ( 86) CORPORATION OF THE PRESIDING BISHOP OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS
  [   117] ( 86) CORPORATION OF THE PRESIDING BISHOP OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS
  [   118] ( 86) CORPORATION OF THE PRESIDING BISHOP OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS
  [   119] ( 86) CORPORATION OF THE PRESIDING BISHOP OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS
  [   120] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   121] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   122] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   123] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   124] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   125] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   126] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   127] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   128] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   129] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   130] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   131] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   132] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   133] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
